Date,Price Close_BTC=,Volatility - 30 days_BTC=,TR.RSI14D_BTC=,Price Close_ETH=,Volatility - 30 days_ETH=,TR.RSI14D_ETH=,Price Close_SOL=,Volatility - 30 days_SOL=,TR.RSI14D_SOL=,Price Close_BTCc1,Volatility - 30 days_BTCc1,TR.RSI14D_BTCc1,Price Close_2330.TW,Volatility - 30 days_2330.TW,TR.RSI14D_2330.TW,Price Close_2454.TW,Volatility - 30 days_2454.TW,TR.RSI14D_2454.TW,Price Close_.TWII,Volatility - 30 days_.TWII,TR.RSI14D_.TWII,Price Close_LCOc1,Volatility - 30 days_LCOc1,TR.RSI14D_LCOc1,Price Close_XAU=,Volatility - 30 days_XAU=,TR.RSI14D_XAU=,Price Close_US10YT=RR,Volatility - 30 days_US10YT=RR,TR.RSI14D_US10YT=RR,Price Close_.N225,Volatility - 30 days_.N225,TR.RSI14D_.N225,Price Close_.FTSE,Volatility - 30 days_.FTSE,TR.RSI14D_.FTSE,Price Close_.GDAXI,Volatility - 30 days_.GDAXI,TR.RSI14D_.GDAXI,Price Close_EUR=,Volatility - 30 days_EUR=,TR.RSI14D_EUR=,Price Close_JPY=,Volatility - 30 days_JPY=,TR.RSI14D_JPY=,Price Close_CNY=,Volatility - 30 days_CNY=,TR.RSI14D_CNY=
2020-08-05 00:00:00,,,,,,,,,,,,,429.0,,,730.0,,,12802.3,,,,,,,,,,,,22514.85,,,6104.72,,,12660.25,,,,,,,,,,,
2020-08-06 00:00:00,,,,,,,,,,,,,435.0,,,732.0,,,12913.5,,,,,,,,,,,,22418.15,,,6026.94,,,12591.68,,,,,,,,,,,
2020-08-07 00:00:00,,,,,,,,,,,,,433.0,,,705.0,,,12828.87,,,,,,,,,,,,22329.94,,,6032.18,,,12674.88,,,,,,,,,,,
2020-08-10 00:00:00,,,,,,,,,,,,,435.5,,,706.0,,,12894.0,,,,,,,,,,,,,,,6050.59,,,12687.53,,,,,,,,,,,
2020-08-11 00:00:00,,,,,,,,,,,,,429.0,,,693.0,,,12780.19,,,,,,,,,,,,22750.24,,,6154.34,,,12946.89,,,,,,,,,,,
2020-08-12 00:00:00,,,,,,,,,,,,,419.0,,,680.0,,,12670.35,,,,,,,,,,,,22843.96,,,6280.12,,,13058.63,,,,,,,,,,,
2020-08-13 00:00:00,,,,,,,,,,,,,429.0,,,684.0,,,12763.13,,,,,,,,,,,,23249.61,,,6185.62,,,12993.71,,,,,,,,,,,
2020-08-14 00:00:00,,,,,,,,,,,,,427.0,,,680.0,,,12795.46,,,,,,,,,,,,23289.36,,,6090.04,,,12901.34,,,,,,,,,,,
2020-08-17 00:00:00,,,,,,,,,,,,,435.0,,,685.0,,,12956.11,,,,,,,,,,,,23096.75,,,6127.44,,,12920.66,,,,,,,,,,,
2020-08-18 00:00:00,,,,,,,,,,,,,433.0,,,617.0,,,12872.14,,,,,,,,,,,,23051.08,,,6076.62,,,12881.76,,,,,,,,,,,
2020-08-19 00:00:00,,,,,,,,,,,,,427.5,,,609.0,,,12778.64,,,,,,,,,,,,23110.61,,,6111.98,,,12977.33,,,,,,,,,,,
2020-08-20 00:00:00,,,,,,,,,,,,,415.0,,,565.0,,,12362.64,,,,,,,,,,,,22880.62,,,6013.34,,,12830.0,,,,,,,,,,,
2020-08-21 00:00:00,,,,,,,,,,,,,424.5,,,604.0,,,12607.84,,,,,,,,,,,,22920.3,,,6001.89,,,12764.8,,,,,,,,,,,
